member_name,political_group,policy_topic,vote,date
Axel Voss,EPP,AI Act,FOR,2024-03-13
Brando Benifei,S&D,AI Act,FOR,2024-03-13
Dragoș Tudorache,Renew,AI Act,FOR,2024-03-13
Kim Van Sparrentak,Greens/EFA,AI Act,FOR,2024-03-13
Annalisa Tardino,ID,AI Act,AGAINST,2024-03-13
Kosma Złotowski,ECR,AI Act,ABSTAIN,2024-03-13
Peter Liese,EPP,Climate Policy,AGAINST,2023-04-18
Mohammed Chahim,S&D,Climate Policy,FOR,2023-04-18
Pascal Canfin,Renew,Climate Policy,FOR,2023-04-18
Michael Bloss,Greens/EFA,Climate Policy,FOR,2023-04-18
Marco Zanni,ID,Climate Policy,AGAINST,2023-04-18
Bogdan Rzońca,ECR,Climate Policy,AGAINST,2023-04-18
Roberta Metsola,EPP,Migration Policy,FOR,2023-09-20
Birgit Sippel,S&D,Migration Policy,AGAINST,2023-09-20
Sophie in 't Veld,Renew,Migration Policy,AGAINST,2023-09-20
Erik Marquardt,Greens/EFA,Migration Policy,AGAINST,2023-09-20
Matteo Salvini,ID,Migration Policy,FOR,2023-09-20
Nicola Procaccini,ECR,Migration Policy,FOR,2023-09-20
Andreas Schwab,EPP,Digital Services Act,FOR,2022-07-05
Christel Schaldemose,S&D,Digital Services Act,FOR,2022-07-05
Dita Charanzová,Renew,Digital Services Act,FOR,2022-07-05
Alexandra Geese,Greens/EFA,Digital Services Act,FOR,2022-07-05
Ivan Štefanec,ECR,Digital Services Act,ABSTAIN,2022-07-05
Manfred Weber,EPP,Green Deal,AGAINST,2023-06-22
Iratxe García Pérez,S&D,Green Deal,FOR,2023-06-22
Nathalie Colin-Oesterlé,Renew,Green Deal,FOR,2023-06-22
Bas Eickhout,Greens/EFA,Green Deal,FOR,2023-06-22
Jordan Bardella,ID,Green Deal,AGAINST,2023-06-22
Bart Groothuis,Renew,Cybersecurity,FOR,2022-11-10
Maria Walsh,EPP,Cybersecurity,FOR,2022-11-10
Lukas Mandl,ECR,Cybersecurity,FOR,2022-11-10
Hannah Neumann,Greens/EFA,Cybersecurity,ABSTAIN,2022-11-10
